company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
HYPERA - HYPE3,23.12,74794000,22199379000,Saúde,Medicamentos e Outros Produtos, 1330875000, 1650550000, 1698401000, 1330300000, 1295120000,1014507000,72.33,5.79,3.64,2.67,2.57,2.81,0.55,6.89,11.09,14.32,15.94,13.54,14.02,1.88,18.53,1.28,18.11,8.54,13.74,16.87,13.46,16.75,21.88,-9.17,2.71,7.88,11.15,2.47,18.26,1.25,0.95,1.97,2.69,1.82,2.35,4.65
RUMO - RAIL3,17.36,237501000,45316980000,Bens Industriais,Transporte Ferroviário, -949243000, 721912000, 514020000, 155750000, 304680000,2116334000,-12.00,2.80,2.46,2.08,1.87,3.50,3.19,-9.78,-6.51,4.59,3.34,1.02,1.98,4.83,7.87,-0.77,-22.55,-34.50,59.13,67.04,218.83,120.10,21.41,-999999,-999999,21.47,-999999,-999999,-999999,2.21,2.25,2.72,2.24,2.23,2.38,0.00
COSAN - CSAN3,7.76,110691000,70546227000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", -8161766000, 4884744000, 2820880000, 6350780000, 910670000,3504597000,-8.94,7.15,7.15,2.90,3.97,3.01,3.57,-86.43,-86.43,5.22,5.69,41.54,7.85,0.37,5.84,-5.05,-1.54,-1.62,33.02,27.17,6.61,41.48,20.13,-999999,-999999,20.74,13.31,35.51,0.65,1.33,1.40,1.72,1.55,2.75,3.26,5.78
METALURGICA GERDAU - GOAU4,8.42,86710000,16067327000,Materiais Básicos,Siderurgia, 4610512000, 7585094000, 11462270000, 15554100000, 2383580000,6106128000,40.04,0.81,0.50,0.39,0.32,0.28,1.12,5.74,7.71,15.28,22.72,35.60,7.46,15.14,19.58,1.12,7.49,6.59,4.21,3.45,2.15,12.82,2.63,6.79,30.96,27.62,-999999,-999999,-999999,0.43,0.51,0.64,0.78,0.77,0.96,6.42
CEMIG - CMIG4,10.21,153208000,24365011000,Utilidade Pública,Energia Elétrica, 7119287000, 5766835000, 4094367000, 3752872000, 2865120000,9658637000,78.31,0.95,0.89,0.88,1.08,1.10,1.75,25.09,26.00,23.39,18.79,19.28,16.39,17.60,9.75,2.45,4.17,4.47,4.38,5.99,5.92,7.72,2.52,19.58,17.88,27.06,32.53,62.15,3.02,1.05,1.16,1.03,1.13,1.14,1.27,18.01
ENEVA - ENEV3,13.72,107189000,35262177000,Utilidade Pública,Energia Elétrica, 549472000, 303432000, 375782000, 1173290000, 1006540000,2211909000,0.00,3.47,3.47,3.99,8.09,3.07,3.54,0.22,0.22,1.90,2.75,13.04,12.71,0.86,11.93,0.03,517.51,397.18,91.66,50.31,19.11,24.42,15.94,-11.40,-1.71,-19.33,31.97,-999999,48.99,1.15,0.88,1.75,1.38,2.49,3.10,0.00
CASAS BAHIA - BHIA3,4.86,25547000,7494122000,Consumo Cíclico,Eletrodomésticos, -1045000000, -2625000000, -342000000, -297000000, 1004000000,510000000,0.00,4.45,4.45,-290.27,3.29,12.63,2.47,-42.19,-42.19,-76.00,-6.47,-5.27,16.79,-1.02,26.05,-10.99,-0.44,-0.26,-0.41,-16.68,-42.02,38.26,14.69,-999999,-999999,-999999,-999999,-999999,131.81,0.19,0.11,0.31,1.08,2.21,6.43,0.00
FRAS-LE - FRAS3,27.17,11215000,7588648000,Bens Industriais,Material Rodoviário, 374703000, 388731000, 203339000, 210620000, 182040000,519171000,38.07,0.37,0.37,-0.27,-0.32,2.65,2.93,16.57,16.57,20.53,11.61,19.38,20.02,10.53,8.22,1.36,19.95,15.05,12.16,12.67,17.09,14.51,14.62,15.53,62.77,34.43,25.95,26.71,28.25,3.31,2.49,2.50,1.47,3.31,2.90,1.90
CVC - CVCB3,2.28,33482000,1230675000,Consumo Cíclico,Viagens e Turismo, -103341000, -456880000, -433450000, -486640000, -1226730000,90636000,0.00,0.10,0.10,2.02,0.49,-4.21,-1.27,-19.44,-19.44,-75.15,-136.96,-126.93,-2075.32,6.58,1.01,-0.20,-11.60,-7.02,-4.03,-5.44,-14.81,-9.04,13.58,-999999,-999999,-999999,-999999,-999999,-999999,2.25,1.36,3.03,7.46,18.79,187.59,0.00
RAIA DROGASIL - RADL3,16.00,251385000,30189939000,Saúde,Medicamentos e Outros Produtos, 1211373000, 1087312000, 1014975000, 764130000, 497320000,2226322000,44.30,0.70,0.66,0.72,0.56,0.43,0.37,18.13,18.65,17.71,18.65,16.08,11.10,21.43,3.78,0.68,23.37,31.50,47.88,39.34,53.38,85.38,13.56,18.93,8.88,16.38,14.64,11.11,7.92,4.24,5.87,8.48,7.34,8.58,9.48,2.42
LOCALIZA - RENT3,41.32,416533000,79363246000,Consumo Cíclico,Aluguel de carros, 1813310000, 1803090000, 1841200000, 2043680000, 1048180000,6018234000,89.27,2.81,2.80,2.88,4.20,3.36,4.25,7.28,6.89,7.11,8.97,26.84,17.32,8.59,24.42,1.78,23.26,19.22,38.13,31.23,28.08,71.22,13.19,12.90,16.81,22.29,29.49,37.93,21.10,1.69,1.32,2.71,2.80,7.54,12.34,4.05
