company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
FLEURY - FLRY3,13.20,29667000,10260260000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 603654000, 420823000, 308727000,-999999,-999999,1203702000,88.72,1.51,1.54,2.08,1.99,-999999,-999999,12.01,11.65,8.34,11.48,-999999,-999999,9.47,9.55,1.15,11.51,10.72,23.29,26.15,-999999,-999999,8.52,18.92,14.09,4.88,-0.75,-999999,-999999,1.38,1.25,1.94,3.00,-999999,-999999,7.70
VIVARA - VIVA3,25.20,74239000,6244572000,Consumo Cíclico,Acessórios, 653393000, 369244000, 360853000,-999999,-999999,732660000,21.28,0.33,0.14,-0.06,-0.18,-999999,-999999,28.05,26.17,19.10,21.76,-999999,-999999,21.78,11.06,3.10,8.12,6.96,21.91,14.68,-999999,-999999,8.52,37.95,20.43,-999999,-999999,-999999,-999999,2.28,1.82,4.18,3.20,-999999,-999999,2.63
ENERGISA - ENGI11,47.06,95201000,50859856000,Utilidade Pública,Energia Elétrica, 4636282000, 2583534000, 2428025000,-999999,-999999,5934089000,36.25,3.57,3.33,3.28,3.21,-999999,-999999,20.36,21.93,15.92,19.38,-999999,-999999,10.24,39.29,8.00,5.88,4.41,13.01,9.48,-999999,-999999,8.57,23.01,54.47,16.97,33.50,-999999,-999999,1.20,0.97,2.07,1.84,-999999,-999999,6.26
TIM - TIMS3,21.20,101365000,49002053000,Telecomunicações,Telecomunicações, 3153881000, 2836950000, 1670760000,-999999,-999999,5712760000,87.64,-0.18,-0.21,-0.11,0.02,-999999,-999999,14.03,11.94,10.90,6.58,-999999,-999999,20.33,10.10,1.42,14.95,11.11,15.30,17.97,-999999,-999999,8.58,13.23,-2.73,2.19,6.24,-999999,-999999,2.10,1.33,1.67,1.18,-999999,-999999,7.78
ATACADÃO - CARREFOUR - CRFB3,0.00,71801000,37449800000,Consumo não Cíclico,Alimentos, 1940000000, -639000000, 1998000000,-999999,-999999,4360000000,10.31,3.17,1.60,1.85,1.20,-999999,-999999,9.21,8.42,-4.14,8.58,-999999,-999999,8.52,9.98,0.92,9.22,6.53,-33.03,17.93,-999999,-999999,8.59,-5.59,7.87,-999999,3.13,-999999,-999999,0.85,0.55,1.37,1.54,-999999,-999999,1.12
ENGIE BRASIL - EGIE3,43.52,41899000,55775101000,Utilidade Pública,Energia Elétrica, 4302841000, 3429060000, 2664567000,-999999,-999999,6484724000,69.03,2.66,2.25,2.04,2.23,-999999,-999999,27.84,37.98,38.70,31.57,-999999,-999999,14.55,14.81,4.12,10.56,6.77,10.78,11.61,-999999,-999999,8.60,4.25,13.24,8.17,5.86,-999999,-999999,2.94,2.57,4.17,3.66,-999999,-999999,5.62
AZUL - AZUL4,0.96,45428000,35153965000,Bens Industriais,Transporte Aéreo, -9151369000, -2380427000, -722357000,-999999,-999999,4070788000,0.00,4.84,5.91,5.65,10.89,-999999,-999999,-22.66,-30.07,-11.16,-3.80,-999999,-999999,64.70,-31.75,-7.20,-0.13,-0.35,-6.03,-13.66,-999999,-999999,8.64,-999999,-999999,-999999,-999999,-999999,-999999,-0.03,-0.10,-0.67,-0.52,-999999,-999999,0.00
AMBEV - ABEV3,13.53,255790000,196162881000,Consumo não Cíclico,Cervejas e Refrigerantes, 14846952000, 14960423000, 14891300000,-999999,-999999,22637012000,86.85,-0.57,-0.91,-0.51,-0.47,-999999,-999999,15.27,14.64,18.36,17.64,-999999,-999999,18.02,6.00,0.92,14.78,12.82,14.92,15.83,-999999,-999999,8.67,4.82,4.03,5.68,13.84,-999999,-999999,2.26,1.88,2.74,2.79,-999999,-999999,6.83
PRIO - PRIO3,41.51,370471000,55110299000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 10301606000, 5179905000, 3427068000,-999999,-999999,6288063000,0.00,1.84,1.95,0.78,-0.08,-999999,-999999,42.58,39.74,37.32,34.64,-999999,-999999,0.78,29.68,12.64,3.28,3.49,7.97,9.73,-999999,-999999,8.76,90.39,74.54,90.79,132.13,-999999,-999999,1.40,1.39,2.97,3.37,-999999,-999999,0.00
TRISUL - TRIS3,7.77,3962000,1805780000,Consumo Cíclico,Incorporações, 174844000, 130195000, 69755000,-999999,-999999,201988000,40.88,1.57,1.65,3.66,4.20,-999999,-999999,12.16,11.76,9.20,5.38,-999999,-999999,7.02,8.04,0.98,7.95,4.80,8.74,9.45,-999999,-999999,8.94,0.34,2.97,11.08,14.50,-999999,-999999,0.97,0.56,0.80,0.51,-999999,-999999,3.90
EZ TEC - EZTC3,13.40,12786000,3358927000,Consumo Cíclico,Incorporações, 428718000, 246096000, 342110000,-999999,-999999,371182000,58.44,1.00,1.01,0.45,-0.96,-999999,-999999,9.02,8.42,5.15,7.26,-999999,-999999,5.13,22.17,2.00,6.70,5.92,17.26,9.14,-999999,-999999,9.05,2.49,8.10,19.22,-1.09,-999999,-999999,0.60,0.50,0.89,0.66,-999999,-999999,8.91
SUZANO - SUZB3,51.99,338507000,140333217000,Materiais Básicos,Papel e Celulose, -7044706000, 14106381000, 23394890000,-999999,-999999,15397901000,-268.77,2.97,3.19,2.87,1.96,-999999,-999999,-2.47,-21.90,31.51,70.72,-999999,-999999,9.09,30.38,-0.75,-69.27,-11.05,4.99,2.61,-999999,-999999,9.11,-999999,-999999,113.44,66.88,-999999,-999999,1.71,2.42,1.57,1.84,-999999,-999999,3.92
