company,current_price,liquidity,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
NEOENERGIA - NEOE3,22.13,27338000,Utilidade Pública,Energia Elétrica, 3709000000, 4527000000, 4787000000, 4066000000, 2905000000,27.71,3.55,3.55,3.09,3.10,3.34,3.33,11.14,11.14,14.94,17.64,16.43,13.27,10.21,26.89,2.99,7.39,6.31,5.81,3.97,5.01,7.61,7.36,5.01,9.94,23.22,60.35,62.91,50.84,0.82,0.70,0.87,0.70,0.82,1.01,3.50
ALUPAR - ALUP11,30.06,29553000,Utilidade Pública,Energia Elétrica, 1859906000, 1149502000, 1663873000, 2122820000, 2055520000,41.15,2.99,2.99,3.58,2.99,2.09,1.31,13.18,13.18,9.44,13.20,17.03,16.38,13.41,25.00,3.29,9.12,7.71,13.84,9.01,6.31,8.43,6.67,-1.98,2.53,8.89,18.71,25.21,29.19,1.20,1.02,1.31,1.19,1.07,1.38,2.89
ELETROBRAS - ELET3,43.43,369328000,Utilidade Pública,Energia Elétrica, 10380752000, 4394861000, 3638389000, 5713630000, 6387310000,36.24,1.52,1.52,2.40,3.75,2.00,3.42,8.51,8.51,4.05,3.29,7.42,8.63,11.13,52.82,4.50,9.66,7.59,21.52,26.73,13.65,13.35,6.51,10.20,-0.69,-21.80,-,10.21,-,0.82,0.65,0.87,0.88,1.01,1.15,1.99
EQUATORIAL ENERGIA - EQTL3,35.95,269847000,Utilidade Pública,Energia Elétrica, 3767805000, 2876284000, 1922004000, 4302510000, 3447650000,23.93,3.80,3.80,3.49,5.02,2.60,1.86,10.77,10.77,9.84,8.27,28.96,28.44,10.38,20.92,2.25,15.96,12.16,21.48,24.54,7.64,9.72,10.15,1.79,6.77,19.40,9.79,37.57,29.14,1.72,1.31,2.11,2.03,2.21,2.76,1.50
ELEKTRO - EKTR3,38.72,-,Utilidade Pública,Energia Elétrica, 915000000, 971000000, 986000000, 822000000, 592000000,163.22,2.69,2.69,2.05,2.13,2.58,2.59,45.45,45.45,32.38,34.42,10.24,19.85,17.39,10.39,4.72,8.20,8.22,6.68,6.31,19.95,7.56,7.68,9.10,13.08,18.57,21.37,18.51,9.79,3.73,3.74,2.16,2.17,2.04,1.50,14.87
ENERGISA - ENGI11,45.50,136725000,Utilidade Pública,Energia Elétrica, 4636282000, 2583534000, 2428025000, 3068840000, 1607480000,35.04,3.33,3.33,3.28,3.21,2.94,3.53,21.93,21.93,15.92,19.38,33.41,22.09,11.16,37.74,8.28,5.50,4.41,13.01,9.48,7.21,16.32,7.95,23.60,54.47,16.97,33.50,74.09,35.54,1.21,0.97,2.07,1.84,2.41,3.61,6.37
ENEVA - ENEV3,13.27,99522000,Utilidade Pública,Energia Elétrica, 549472000, 303432000, 375782000, 1173290000, 1006540000,0.00,3.47,3.47,3.99,8.09,3.07,3.54,0.22,0.22,1.90,2.75,13.04,12.71,0.86,11.93,0.03,500.53,397.18,91.66,50.31,19.11,24.42,15.62,-11.40,-1.71,-19.33,31.97,-,48.99,1.11,0.88,1.75,1.38,2.49,3.10,0.00
AMPLA ENERGIA - CBEE3,8.80,-,Utilidade Pública,Energia Elétrica, 670150000, -191679000, -92390000, 83410000, 48920000,0.00,2.38,2.38,3.29,3.65,5.50,5.02,7940.17,7940.17,-3.59,-1.76,-1.94,1.36,8.35,0.03,2.64,3.34,3.79,-19.61,-37.09,-81.29,103.34,6.72,68.79,19.13,-,-,-,-,264.87,301.29,0.70,0.65,1.57,1.41,0.00
COPASA - CSMG3,21.24,40882000,Utilidade Pública,Água e Saneamento, 1316920000, 1379346000, 843362000, 537590000, 816480000,90.09,1.89,1.89,1.44,1.52,1.68,1.54,16.36,16.36,18.21,11.63,7.95,12.65,11.57,21.17,3.46,6.13,6.01,5.65,7.07,8.99,7.63,6.70,10.03,11.79,18.97,8.52,4.37,-,1.00,0.98,1.03,0.82,0.71,0.97,7.62
SANEPAR - SAPR11,29.73,25324000,Utilidade Pública,Água e Saneamento, 1545377000, 1503359000, 1151540000, 1177630000, 996350000,28.21,1.64,1.64,1.59,1.74,1.38,1.43,14.81,14.81,15.43,13.11,7.66,14.35,10.22,35.83,5.31,5.60,5.24,5.87,4.53,9.67,7.89,5.81,9.18,7.43,10.99,10.91,13.44,17.84,0.83,0.78,0.91,0.59,0.74,1.13,5.22
SABESP - SBSP3,115.38,343536000,Utilidade Pública,Água e Saneamento, 9579562000, 3523529000, 3121270000, 2305870000, 973324000,10.28,1.09,1.09,1.78,2.17,2.79,2.64,25.94,25.94,11.80,11.42,9.25,4.27,18.41,54.03,14.02,8.23,6.31,14.62,12.52,11.91,31.21,6.37,57.99,23.26,4.44,4.38,-4.79,12.66,2.14,1.64,1.73,1.43,1.10,1.33,0.00
CASAN - CASN3,8.74,-,Utilidade Pública,Água e Saneamento, 243025000, 50744000, 91996000, 134950000, 112500000,4.96,2.66,2.66,4.02,4.69,0.13,3.58,10.75,10.75,2.53,4.94,3.92,8.50,10.19,2.17,0.23,37.39,37.39,196.89,144.77,219.33,132.61,16.80,16.65,15.22,-,-,36.59,59.41,4.02,4.02,4.99,7.16,8.59,11.27,0.67
